"yr","regcode","reg","loccode","loc","vcode","rep","yt","x25sl","x50sl","ui","t1","e1","mic","x25sl_star","ui_star","str_star","elg_star","rd_star","b_star","mic_star"
88,20,"EAS",36,"Florence, SC",450,1,123,1.05,0.53,50.5,212,5.8,5.2,1.04,47.8,20.2,7.1,77.8,8.3,5.2
88,20,"EAS",36,"Florence, SC",450,2,114,1.09,0.54,49.5,203,5.3,4.9,1.04,46.6,19.8,6.7,76.3,7.8,4.9
88,20,"EAS",36,"Florence, SC",473,1,99,1.04,0.52,50,178,9,5.4,1.03,49.8,18.5,7.6,77.2,8.2,5
88,20,"EAS",36,"Florence, SC",473,2,101,1.03,0.52,50.5,169,7.8,5.1,1.03,49.9,19.3,7.1,78.6,7.8,4.9
88,20,"EAS",36,"Florence, SC",477,1,129,1.1,0.58,52.7,242,7,4.3,1.03,46.8,23.2,6.6,78.2,8.6,4.8
88,20,"EAS",36,"Florence, SC",477,2,131,1.06,0.53,50,242,7.3,4.7,1.08,51,23.4,7,79,8.5,4.7
88,20,"EAS",36,"Florence, SC",513,1,112,1.09,0.53,48.6,210,6.5,5.1,1.06,46.9,20.1,7.1,76.4,9.3,5
88,20,"EAS",36,"Florence, SC",513,2,111,1.08,0.54,50,204,6.3,5,1.09,47.3,18.8,6.6,76.7,8.2,4.9
88,20,"EAS",36,"Florence, SC",521,1,112,1.1,0.55,50,208,6.5,4.8,1.09,47.2,20.3,7,80.3,8.2,4.9
88,20,"EAS",36,"Florence, SC",521,2,115,1.07,0.53,49.5,200,6.8,5,1.03,47.6,18.5,7,76.4,8.8,5.1
88,20,"EAS",36,"Florence, SC",570,1,108,1.11,0.55,49.5,209,6,5.1,1.09,50.3,20.9,6.8,78,8.7,4.9
88,20,"EAS",36,"Florence, SC",570,2,114,1.1,0.53,48.2,200,6.5,4.8,1.09,48.5,20.6,6.6,76.4,8.4,4.8
88,20,"EAS",36,"Florence, SC",574,1,134,1.03,0.48,46.6,196,6.3,4.8,1.01,42.4,21.1,6.4,77.3,8.6,4.4
88,20,"EAS",36,"Florence, SC",574,2,109,0.99,0.48,48.5,197,6.3,5.3,1.02,47.6,17.7,6.7,77.7,8.4,5
88,20,"EAS",36,"Florence, SC",575,1,95,1.04,0.53,51,194,6.8,5.2,1.03,48.2,17.6,6.7,77.7,9,5.4
88,20,"EAS",36,"Florence, SC",575,2,107,1.04,0.54,51.9,192,5.3,5.7,1.02,48.2,19.4,6.8,77.1,8.7,5.6
88,20,"EAS",36,"Florence, SC",603,1,109,1.08,0.55,50.9,193,6.5,5.2,1.07,48,18.8,7,78.7,8.6,5.2
88,20,"EAS",36,"Florence, SC",603,2,112,1.04,0.52,50,189,6.5,5.3,1.06,45.8,18.7,7.1,79.8,8.6,5.3
88,20,"EAS",36,"Florence, SC",611,1,115,1.1,0.56,50.9,197,8,5,1.07,47.2,20.7,6.8,78.4,8.6,5
88,20,"EAS",36,"Florence, SC",611,2,110,1.04,0.51,49,186,7.5,5.3,1.06,47,18.9,6.6,78.6,7.8,4.8
88,20,"EAS",36,"Florence, SC",635,1,105,0.97,0.5,51.5,186,6.8,4.8,0.98,49.5,20,6.9,78.8,8.2,5
